word,count
N'T,3929
NEW,3922
ONE,3562
SAW,3466
LIKE,3100
CAR,2635
THINK,1992
SEE,1668
TODAY,1610
ALSO,1589
WOULD,1531
LOOKS,1372
SEEN,1311
CARS,1286
GET,1277
LOOK,1258
REALLY,1220
MUCH,1201
GOOD,1189
EVEN,1141
FIRST,1126
LOT,1122
NICE,1122
LOOKING,1098
BLACK,1091
WELL,1089
STILL,1037
COULD,1012
BETTER,999
MODEL,998
PRETTY,992
MAYBE,961
BACK,937
DEALER,888
AROUND,881
GOT,867
WAY,837
THOUGH,836
TIME,830
SURE,808
OLD,806
WHITE,806
ROAD,797
BIG,796
KNOW,782
LOOKED,774
PROBABLY,773
ACTUALLY,763
THING,742
SOMETHING,703
FRONT,680
LAST,666
RIGHT,631
KIND,617
LITTLE,608
COUPLE,603
DRIVE,593
2,592
LEAST,591
3,590
YESTERDAY,576
ANOTHER,576
REAR,574
MANY,572
DRIVING,569
CA,568
SEEMS,567
GOING,565
BMW,561
PEOPLE,555
YEARS,550
GO,544
WORK,543
DAY,541
BIT,534
GUESS,533
TWO,529
RED,528
MAKE,522
THOUGHT,521
SILVER,521
SPOTTED,521
COUPE,514
USED,513
COLOR,512
BAD,508
YEAR,505
MIGHT,497
WANT,484
BLUE,476
YET,475
NEXT,463
TOP,459
SEDAN,451
SHOW,441
END,435
FORD,434
STYLE,430
MORNING,427
MUST,427
SMALL,426
SAY,420
INTERIOR,420
YEAH,419
WHEELS,418
PRICE,414
LEXUS,414
NEVER,412
MB,408
DIFFERENT,407
LESS,405
LOCAL,401
WAGON,399
STYLING,398
SHADES,396
TOYOTA,391
AGO,390
SEEM,387
4,385
PARKED,384
EITHER,384
VEHICLE,380
MADE,378
LONG,375
QUITE,374
TAKE,374
PARKING,371
BUY,370
EVERY,367
HONDA,367
SINCE,366
GREAT,359
ENOUGH,358
5,357
MONEY,351
MODELS,344
AREA,342
SAID,339
AUDI,338
MAKES,336
BEST,336
ENGINE,335
SEEING,332
SIDE,332
DARK,330
DESIGN,329
WONDER,327
WIFE,326
BEHIND,326
DOOR,320
SELL,317
MARKET,317
WENT,316
