PageCommentNumber,date,author,text
0,2004-04-02T13:43:55+00:00,fintail,"This isn't totally new, but I saw my first Scion xB the other day, and it was black and boxy. I saw it in Bellingham WA, a ways from where they actually sell them now (I think), so it counts."
1,2004-04-02T13:52:23+00:00,andre1969,"I saw both a Colorado and a Malibu in DC. I know neither one is the cutting edge of newness, but this is only like the second time I've seen a Colorado on the roads, and maybe the third time I've seen a new Malibu!"
2,2004-04-02T15:25:54+00:00,lemko,...but I saw a Mazda 3 last week.
3,2004-04-02T15:28:12+00:00,andre1969,"sometimes though, at a quick glance it takes me a moment to distinguish the 4-door model. If I only catch it in passing, which means that the first thing my vision fixes on is the roofline, my first thought is '95-99 Neon. At a quick glance, the rooflines are very similar."
4,2004-04-02T16:07:00+00:00,PF_Flyer,"Yea, we can have some retroactive sightings to get this going... but not too far back! Don't want anyone reporting seeing their first AMC Pacer! LOL

Haven't seen a Mazda 3 yet... hmm... this is kind of similar to bird watching. Maybe we need an occasional checklist of things we should try to spy on the road.

PF Flyer
Host
Pickups & News & Views Message Boards"
5,2004-04-02T16:55:26+00:00,ghulet,"....haven't seen a Maxx yet, also have seen a Mazda3, but it was at the dealer, does that count? I live in the middle of the city, don't get out much during the day, work at midnight like three miles from home, so the chances of my seeing too many new cars are kinda slim. Woe is me."
6,2004-04-02T18:13:53+00:00,mirth,"Saw a Chrysler 300C on the road the other day (Detroit area). Looked very good in person.

Saw an xB in Ann Arbor, MI. Neat looking, IMO."
7,2004-04-02T20:13:52+00:00,kenjabi,"In Maryland near DC, I first saw an xB about a month ago, and saw it again yesterday. Funny thing, it has a big website advertisement slapped to the sides of it (missed the name of the site, though).

I've also seen two Malibu Maxxes within the last week."
8,2004-04-02T21:04:51+00:00,player4,"In Louisville, KY. I've seen a 2005 Chrysler Town & Country last week and I also saw a 2005 Nissan Altima at a parking lot at the mall too. I also saw a 2004 Cadillac XLR in the Interstate it was VERY nice.
Also seen the 2004 BMW X3, 2004 Pontiac GTO, 2004 Nissan Pathfinder Armada, 2004 Saab 93 Convertible, 2004 Chevrolet Malibu and Malibu Maxx, 2005 Ford Escape, 2004 Chevrolet Aveo, 2004 Mazda3, 2004 Chevrolet Colorado, 2004 BMW 5-Series, 2004 Infiniti QX56, 2004 Toyota Solara Convertible, 2004 Porsche Cayenne Turbo, and 2004 Chrysler Crossfire."
9,2004-04-02T21:11:31+00:00,andys120,"The ""wagon"" (it's really a five door hatch IMO) version of the new 'Bu. I thought it looked far better than the (Malibu) sedan.

What a weird time, when SAAB sells a four-door but no hatch and Chebby sells a five-door hatch and both are made by GM."
10,2004-04-02T21:48:20+00:00,seminole_kev,"If I remember correctly the Malibu and SAAB 9-3 are on the same platform, yet Chevy has a 5-door hatch and the 9-3 has the sedan. Crazy I tell ya. Crazy!"
11,2004-04-02T23:01:44+00:00,ghulet,"....that the Malibu is made on the same platform as the Grand Am? I remember seeing the new 9-3 and being alarmed at how much it looked like an Alero or Grand Am. Yes, I think it's a shame that SAAB no longer has a hatchback, especially now that they're coming back into popularity. Leave it to GM."
12,2004-04-02T23:11:36+00:00,logic1,"shares the epsilon platform with the new Malibu/Maxx, Opel Vectra, and the forth coming G6. The Grand Am and Alero are on a much older platform.

This (imo lovely) Saab hatch will be on the market sometime next year:

http://www.edmunds.com/future/2006/saab/93/100352828/photos.html?- tid=edmunds.f.review.vdpheaderphoto..0.Saab*"
13,2004-04-02T23:15:58+00:00,grbeck,"Today I saw a metallic gray Scion xB. It looked quite small on the road, despite the boxy shape. Maybe because I keep comparing it to the bigger Chevy Astro/GMC Safari.

I wonder what that 2005 Mustang was doing in State College, Pa. That is a long way from Dearborn. I hope the car makes it to Harrisburg."
14,2004-04-03T06:19:26+00:00,wimsey1,"3-Malibu Maxx
2-PT Cruiser converts.
1-Mazda 3
2-RX-8
1-Crossfire"
15,2004-04-03T19:16:55+00:00,fintail,Saw an xA and an xB today
16,2004-04-03T21:13:35+00:00,player4,Saw the 2004 Cadillac SRX today!!
17,2004-04-03T22:47:05+00:00,andys120,"Out in front of a Chebby dealer, in bright yellow which didn't favor the car as much as the black that I saw a couple of weeks ago."
18,2004-04-04T09:02:08+00:00,tbcreative,"Over the past year, I've seen something else around the Phoenix Metro area, that isn't even due to come to the states for another year. On 3 different occasions, I have seen the Nissan X-Trail. I'm not sure whether it was the same vehicle or not, but all 3 were silver. I've heard you can get one imported here, but you have to go through some channels. My most recent sighting was today, in the Ahwatukee Best Buy parking lot, so I actually got a chance to walk around it and check it out. It was very nice. It had Georgia license plates, and was parked next to a Ford Escape, which it was nearly identical to, dimension-wise.

I'm surprised Nissan hasn't introduced it here yet, because I think it would be a top seller, easily out-selling the latest SUV offerings from Mitsubishi."
19,2004-04-04T09:40:06+00:00,tbcreative,"One of the best things about living in Phoenix, if you're a car nut, is the fact that everyone has proving grounds here. I've been seeing all of the above mentioned vehicles for at least a few weeks. What excites me is vehicles that haven't been introduced yet. I've seen everything from the New Beetle to the XC90, and the 300M to the Armada, long before they were due to hit dealerships.

But what really puts a big ol' grin on my mug is seeing spy vehicles! I haven't seen too many of them, but it's exciting to see them when I do. My most recent sighting was the new Land Rover Discovery, or LR3, as it's now called, which I just saw about a week and a half ago, while driving home from work. I was so excited, I called my dad and described it as I was cruising along side it. I didn't follow it all the way to it's destination, as I was meeting my family for dinner, but I talked with Brenda Priddy about it (she lives close to me, and we've become friends). She told me about Ford doing some testing with the '05 Mustang here, and perhaps they're also doing some weather testing for the LR3. I've seen the spy shots, and photos of it, but it looked cool in reality, even with all of the black-out, spy stuff on it. I just saw the latest Truck Trend, which has the best photo I've seen of it.

Now, if I could just see an H3..."
20,2004-04-04T21:07:50+00:00,wimsey1,"I've seen an SSR sitting at a dealer too. Anyone know how they are selling?
There is a blue SRT-4 in our little town, the owner seems like a rather nice kid."
21,2004-04-05T04:17:56+00:00,bksward,"The week of New Year's I saw a Ford 500 in San Diego. It was the day of the Holiday Bowl and near the stadium.

Mazda 3s are all over the place down here. As are the Scions (a lot more xBs than xAs...) But the Scions have been on sale for around 9 months here.

Saw a both a Pathfinder Armada on I-5 today and a Nissan Titan in a parking lot in Pacific Beach. Also the new Durango.

I've seen several Gallardos as well, but I work across the street from the service center for the local Lambo dealer."
22,2004-04-05T11:38:10+00:00,lemko,...near the Sports Complex in Philadelphia - a new black Rolls-Royce Phantom.
23,2004-04-07T15:16:18+00:00,jaserb,"It actually looked more awkward in person than in the pics, to me anyway. Surprising because I liked the pics. It was in kind of an unattractive beige/brown color, so that probably didn't help. Black or silver would work better.

-Jason"
24,2004-04-07T21:04:07+00:00,vikd,"...saw an '04 GTO yesterday. Pretty unremarkable exterior wise...

Regards... Vikd"
25,2004-04-07T21:36:51+00:00,i_luv_toyota,"Saw a Nissan Titan the other day. First one I've seen since they've been on sale. I did see the SUV version of the Titan, the Armada, a month back at the Mohegan Sun Casino parking garage here in Connecticut (it had NY plates, though...)."
26,2004-04-07T23:15:13+00:00,fintail,One of the high level corporate cronyists at work has a new Armada. Is there some kind of styling theme out there where a vehicle is made to intentionally seem obese? It seems over-wrought at every angle.
27,2004-04-08T01:17:54+00:00,fintail,"Are Scions being sold nationwide yet? I saw yet another xB today, this one dark blue"
28,2004-04-08T02:33:25+00:00,bretaa,"Saw all of those here in Minnesota this week. The GTO does look purposeful, but it is clearly an older design. It was parked next to a late model Mercury Cougar, and I'd hate to say which was the ""fresher"" design...

The 300C is another case entirely. It has tremendous road presence and is very fresh. I couldn't help but think ""modern day Bentley"" when I was parked next to it.

I know the SRX has been out a while, but I saw my first one here. It does attract attention. I still think it comes away looking a wee narrow, and not as ""planted"" as I would like.

My $0.02.

- Bret"
29,2004-04-08T15:00:56+00:00,carguy58,"Seen about 13 Acura TL's that I counted.

Seen about 11 Mazda 3's so far(When I go to work sometimes I see a young girl driving a 3 going the opposite way.)

I saw a Nissan Pathfinder Armada way back in December or something.

Seen about 4 Chrysler Crossfire's(not alot of them around.)

Seen about 4 04 Mitsubishi Galants so far(all 4 in the same day as a matter fact and haven't seen one since.)

Also have seen a few Caddy SRX's around.
Seen about maybe 6-10 04 BMW 5 Series around."
30,2004-04-08T16:29:41+00:00,vikd,"...the GTO is simply a watered down version of the Volvo C70. I appreciate that Pontiac did away with the cladding theme on the GTO, but they could have made the vehicle just a bit more striking in appearance as would befit the GTO badge. It is one heck of a ""sleeper"" though! Lots of folks getting fooled at the stop light drags I'll bet...

Still waiting to see a 300 on the street; saw one on the turntable at the auto show but that's it. Looking forward to see ing the Magnum in person as well.

Regards... Vikd"
31,2004-04-08T17:09:33+00:00,lemko,"...I'd get a GTO and put one of those little ""E"" Enterprise car rental decals on it and fool people into thinking it's a rental Grand Prix."
32,2004-04-08T17:35:36+00:00,vikd,"...I didn't go that far but I know what you mean...yaawwnnn...

Regards... Vikd"
33,2004-04-08T17:38:48+00:00,andre1969,"has a son who works as a tech at a Chrysler dealership. He said that the 300's are in stock now. They only got a few of them though, and naturally, they're loaded to the gills. <sigh> Looks like it's gonna be the Pacifica/K-car/Volare all over again!"
34,2004-04-08T17:39:58+00:00,andre1969,"that's a sick idea, but I kinda like it! It'd be a nice practical joke...maybe if one of my co-workers ever shows up with a GTO, I'll do it to them! ;-)"
